Latitude,Longitude,Timestep
57.015457,9.985804,10298
57.015457,9.985804,10399
57.015457,9.985804,10499
57.015457,9.985805,10598
57.015457,9.985806,10697
57.015457,9.985806,10797
57.015457,9.985808,10897
57.015457,9.985808,10997
57.015457,9.985808,11097
57.015457,9.985809,11197
57.015457,9.985812,11297
57.015457,9.985812,11396
57.015457,9.985814,11496
57.015457,9.985815,11597
57.015457,9.985817,11697
57.015457,9.985817,11798
57.015457,9.985819,11897
57.015457,9.985819,11997
57.015457,9.985820,12097
57.015457,9.985822,12197
57.015457,9.985822,12297
57.015457,9.985824,12397
57.015457,9.985825,12498
57.015457,9.985826,12598
57.015457,9.985828,12698
57.015457,9.985828,12797
57.015457,9.985830,12897
57.015457,9.985832,12999
57.015457,9.985834,13098
57.015457,9.985835,13197
57.015457,9.985835,13298
57.015457,9.985837,13396
57.015457,9.985837,13497
57.015457,9.985839,13598
57.015457,9.985840,13697
57.015457,9.985840,13797
57.015465,9.985842,13898
57.015465,9.985844,13999
57.015465,9.985847,14099
57.015465,9.985847,14200
57.015465,9.985847,14298
57.015465,9.985847,14399
57.015465,9.985848,14497
57.015465,9.985848,14598
57.015465,9.985849,14698
57.015465,9.985849,14797
57.015465,9.985852,14897
57.015465,9.985852,14998
57.015465,9.985854,15097
57.015465,9.985855,15197
57.015465,9.985857,15298
57.015465,9.985859,15397
57.015465,9.985860,15497
57.015465,9.985862,15598
57.015465,9.985864,15697
57.015457,9.985867,15797
57.015457,9.985868,15897
57.015457,9.985872,15997
57.015457,9.985875,16097
57.015450,9.985877,16196
57.015450,9.985880,16299
57.015450,9.985884,16398
57.015450,9.985887,16498
57.015450,9.985889,16598
57.015446,9.985893,16698
57.015446,9.985897,16797
57.015446,9.985900,16898
57.015438,9.985904,16998
57.015438,9.985907,17097
57.015438,9.985912,17198
57.015438,9.985915,17299
57.015438,9.985918,17399
57.015430,9.985924,17498
57.015430,9.985927,17598
57.015430,9.985932,17699
57.015430,9.985935,17800
57.015430,9.985940,17897
57.015423,9.985945,18000
57.015423,9.985950,18097
57.015423,9.985952,18199
57.015423,9.985953,18297
57.015423,9.985955,18399
57.015423,9.985957,18497
57.015423,9.985958,18599
57.015423,9.985960,18697
57.015423,9.985962,18797
57.015423,9.985963,18898
57.015419,9.985965,18998
57.015419,9.985969,19098
57.015419,9.985970,19198
57.015419,9.985973,19298
57.015419,9.985975,19398
57.015419,9.985978,19498
57.015419,9.985980,19597
57.015419,9.985983,19697
57.015419,9.985985,19798
57.015411,9.985988,19899
57.015411,9.985992,20000
57.015411,9.985995,20099
57.015411,9.985997,20199
57.015411,9.986000,20299
57.015411,9.986003,20399
57.015404,9.986007,20499
57.015404,9.986010,20601
57.015404,9.986013,20698
57.015404,9.986015,20798
57.015404,9.986018,20898
57.015404,9.986022,20998
57.015400,9.986025,21098
57.015400,9.986028,21198
57.015400,9.986032,21300
57.015400,9.986033,21398
57.015400,9.986037,21496
57.015400,9.986040,21598
57.015400,9.986043,21699
57.015392,9.986047,21800
57.015392,9.986053,21897
57.015392,9.986055,22000
57.015392,9.986058,22100
57.015392,9.986060,22201
57.015392,9.986060,22300
57.015392,9.986062,22398
57.015385,9.986062,22498
57.015385,9.986063,22600
57.015385,9.986065,22698
57.015385,9.986065,22798
57.015385,9.986067,22897
57.015385,9.986067,22998
57.015385,9.986065,23097
57.015385,9.986063,23198
57.015385,9.986060,23297
57.015392,9.986057,23398
57.015392,9.986055,23498
57.015392,9.986050,23598
57.015392,9.986047,23699
57.015400,9.986040,23798
57.015400,9.986040,23899
57.015400,9.986037,23999
57.015400,9.986040,24099
57.015400,9.986047,24199
57.015400,9.986053,24299
57.015392,9.986058,24399
57.015392,9.986063,24500
57.015392,9.986063,24599
57.015392,9.986060,24699
57.015392,9.986060,24798
57.015392,9.986065,24899
57.015392,9.986063,25000
57.015392,9.986063,25098
57.015392,9.986067,25197
57.015385,9.986077,25297
57.015385,9.986078,25399
57.015381,9.986082,25498
57.015385,9.986078,25606
57.015385,9.986073,25708
57.015385,9.986063,25808
57.015385,9.986058,25906
57.015392,9.986053,26005
57.015392,9.986053,26105
57.015392,9.986050,26207
57.015392,9.986045,26306
57.015400,9.986033,26405
57.015404,9.986020,26505
57.015404,9.986013,26605
57.015404,9.986007,26705
57.015411,9.985997,26805
57.015411,9.985987,26906
57.015419,9.985978,27006
57.015419,9.985965,27098
57.015423,9.985957,27197
57.015423,9.985953,27306
57.015423,9.985950,27407
57.015423,9.985945,27508
57.015423,9.985942,27605
57.015423,9.985937,27705
57.015423,9.985935,27806
57.015423,9.985935,27906
57.015423,9.985935,28006
57.015423,9.985937,28105
57.015419,9.985935,28199
57.015419,9.985933,28299
57.015419,9.985932,28405
57.015419,9.985932,28499
57.015419,9.985929,28598
57.015419,9.985925,28698
57.015423,9.985922,28799
57.015423,9.985918,28905
57.015423,9.985915,28999
57.015423,9.985912,29097
57.015423,9.985905,29197
57.015430,9.985902,29299
57.015430,9.985900,29397
57.015430,9.985895,29497
57.015430,9.985893,29599
57.015430,9.985892,29698
57.015430,9.985888,29797
57.015430,9.985887,29897
57.015430,9.985884,29998
57.015430,9.985880,30096
57.015430,9.985877,30200
57.015430,9.985870,30299
57.015438,9.985865,30399
57.015438,9.985862,30499
57.015438,9.985859,30598
57.015438,9.985854,30697
57.015438,9.985849,30798
57.015438,9.985847,30897
57.015446,9.985842,30996
57.015446,9.985837,31096
57.015446,9.985832,31197
57.015446,9.985828,31297
