GPS log at 10hz
Latitude,Longitude,Timestep
570170283,99826417,88892
570170300,99826367,88992
570170333,99826333,89091
570170350,99826283,89193
570170383,99826233,89292
570170417,99826167,89393
570170450,99826117,89493
570170450,99826133,89592
570170467,99826100,89693
570170483,99826067,89793
570170500,99826017,89892
570170517,99825983,89993
570170550,99825933,90092
570170567,99825900,90192
570170600,99825850,90292
570170600,99825867,90396
570170617,99825850,90491
570170633,99825817,90590
570170650,99825783,90690
570170667,99825767,90790
570170683,99825750,90890
570170683,99825733,90990
570170700,99825750,91090
570170700,99825767,91192
570170717,99825767,91290
570170717,99825750,91393
570170733,99825717,91490
570170767,99825683,91590
570170783,99825667,91691
570170800,99825633,91791
570170800,99825617,91891
570170817,99825600,91991
570170817,99825583,92090
570170833,99825567,92191
570170850,99825533,92291
570170867,99825500,92390
570170883,99825483,92490
570170900,99825450,92591
570170900,99825467,92692
570170917,99825467,92792
570170917,99825467,92893
570170933,99825467,92992
570170950,99825433,93092
570170967,99825400,93192
570170983,99825350,93292
570171000,99825300,93392
570171033,99825217,93493
570171033,99825217,93593
570171067,99825183,93692
570171100,99825133,93792
570171133,99825067,93893
570171167,99825017,93992
570171200,99824950,94093
570171217,99824883,94191
570171250,99824833,94293
570171250,99824817,94398
570171267,99824800,94494
570171267,99824800,94592
570171283,99824767,94692
570171317,99824733,94792
570171333,99824700,94892
570171350,99824667,94993
570171367,99824633,95092
570171383,99824583,95192
570171400,99824550,95292
570171417,99824533,95391
570171433,99824500,95503
570171350,99824750,95602
570171267,99824983,95702
570171183,99825233,95801
570171100,99825500,95900
570171033,99825733,96000
570170983,99825867,96101
570170950,99825983,96201
570170917,99826117,96301
570170850,99826350,96401
570170783,99826583,96501
570170733,99826717,96599
570170717,99826833,96700
570170683,99827017,96801
570170650,99827150,96893
570170617,99827333,97002
570170567,99827550,97102
570170533,99827750,97202
570170483,99827950,97300
570170433,99828150,97401
570170383,99828350,97500
570170333,99828567,97602
570170300,99828667,97701
570170267,99828850,97801
570170217,99829050,97902
570170183,99829217,97999
570170150,99829383,98102
570170100,99829533,98202
570170067,99829650,98301
570170017,99829817,98407
570169967,99829983,98501
570169933,99830117,98602
570169883,99830283,98702
570169850,99830433,98803
570169817,99830583,98901
570169783,99830700,98999
570169733,99830867,99102
570169700,99831000,99203
570169667,99831117,99301
570169617,99831250,99401
570169600,99831317,99501
570169567,99831400,99602
570169517,99831533,99702
570169483,99831633,99801
570169450,99831750,99893
570169417,99831867,99993
570169383,99831967,100093
570169367,99831967,100200
570169350,99831967,100293
570169333,99832067,100402
570169300,99832133,100501
570169283,99832150,100602
570169250,99832250,100701
570169233,99832267,100801
570169183,99832367,100901
570169167,99832367,101002
570169117,99832467,101102
570169083,99832450,101203
570169017,99832550,101301
570168967,99832633,101401
570168933,99832633,101502
570168883,99832733,101601
570168867,99832733,101700
570168833,99832817,101801
570168833,99832783,101900
570168833,99832750,102001
570168817,99832733,102101
570168817,99832783,102202
570168817,99832750,102301
570168783,99832850,102409
570168767,99832833,102501
570168750,99832817,102601
570168733,99832917,102701
570168717,99832900,102801
570168700,99832950,102902
570168683,99832933,103000
570168683,99832917,103101
570168667,99832967,103201
570168650,99833017,103301
570168617,99833067,103401
570168617,99833050,103501
570168583,99833100,103601
570168550,99833200,103703
570168517,99833283,103801
570168483,99833367,103902
570168467,99833433,103999
570168433,99833500,104099
570168417,99833567,104199
570168383,99833583,104300
570168383,99833567,104401
570168367,99833550,104502
570168333,99833633,104600
570168300,99833717,104699
570168283,99833683,104799
570168267,99833767,104899
570168233,99833833,105000
570168217,99833900,105100
570168183,99833967,105200
570168150,99834033,105299
570168133,99834100,105402
570168117,99834083,105500
570168100,99834067,105599
570168067,99834133,105699
570168050,99834100,105799
570168033,99834067,105901
570168017,99834117,106000
570168000,99834083,106100
570167983,99834133,106200
570167983,99834067,106299
570167933,99834150,106406
570167900,99834233,106500
570167850,99834317,106599
570167850,99834283,106700
570167800,99834367,106802
570167750,99834450,106901
570167717,99834450,107000
570167700,99834450,107100
570167667,99834433,107199
570167633,99834533,107301
570167633,99834500,107401
570167600,99834567,107502
570167583,99834550,107601
570167550,99834633,107700
570167533,99834617,107799
570167517,99834583,107900
570167517,99834550,108000
570167500,99834617,108100
570167483,99834667,108201
570167483,99834617,108302
570167467,99834683,108399
570167467,99834650,108504
570167450,99834617,108601
570167450,99834567,108702
570167450,99834517,108801
570167417,99834600,108902
570167400,99834650,109002
570167400,99834600,109102
570167417,99834533,109201
570167417,99834500,109299
570167417,99834517,109401
570167400,99834567,109502
570167400,99834533,109601
570167400,99834550,109699
570167417,99834500,109801
570167400,99834517,109902
570167400,99834517,109999
570167400,99834550,110102
570167400,99834567,110200
570167400,99834600,110300
570167400,99834583,110406
570167417,99834567,110500
570167400,99834633,110601
570167400,99834600,110700
570167417,99834567,110801
570167417,99834533,110900
570167417,99834567,110999
570167417,99834550,111100
570167433,99834533,111201
570167433,99834517,111300
570167450,99834483,111401
570167450,99834467,111493
570167467,99834433,111593
570167467,99834417,111701
570167467,99834400,111800
570167467,99834433,111899
570167467,99834417,112001
570167483,99834383,112101
570167467,99834417,112200
570167467,99834467,112300
570167450,99834500,112400
570167450,99834483,112502
570167450,99834467,112600
570167467,99834450,112701
570167433,99834533,112800
570167433,99834533,112899
570167433,99834517,113001
570167417,99834600,113101
570167417,99834600,113202
570167417,99834583,113301
570167417,99834583,113401
570167400,99834583,113502
570167400,99834567,113600
570167400,99834550,113699
570167383,99834650,113802
570167383,99834633,113902
570167350,99834717,113999
570167350,99834700,114101
570167367,99834683,114201
570167367,99834667,114301
570167367,99834650,114397
570167367,99834633,114493
570167367,99834617,114601
570167367,99834600,114701
570167367,99834583,114793
570167383,99834583,114899
570167383,99834567,115001
570167383,99834550,115101
570167383,99834533,115201
570167350,99834633,115303
570167350,99834633,115403
570167317,99834717,115501
570167317,99834700,115601
570167317,99834683,115701
570167333,99834683,115801
570167333,99834667,115900
570167300,99834750,115999
570167300,99834733,116101
570167267,99834833,116200
570167250,99834917,116299
570167250,99834917,116402
570167217,99835017,116503
570167200,99835017,116600
570167200,99834983,116701
570167183,99835067,116801
570167167,99835183,116900
570167167,99835167,117001
570167167,99835150,117100
570167167,99835150,117202
570167167,99835133,117302
570167167,99835117,117401
570167167,99835083,117502
570167150,99835183,117601
570167150,99835150,117703
570167150,99835133,117800
570167117,99835250,117901
570167117,99835217,118000
570167083,99835300,118102
570167050,99835400,118199
570167050,99835383,118301
570167050,99835383,118406
570167033,99835383,118500
570167017,99835383,118599
570167017,99835383,118698
570167017,99835383,118798
570167000,99835367,118899
570167000,99835350,119001
570167000,99835350,119102
570167000,99835350,119200
570166967,99835433,119298
570166950,99835433,119400
570166933,99835433,119502
570166933,99835417,119599
570166917,99835433,119699
570166900,99835533,119799
570166867,99835633,119901
570166850,99835717,120000
570166833,99835817,120099
570166800,99835883,120200
570166783,99835950,120299
570166750,99836100,120399
570166717,99836167,120499
570166700,99836233,120601
570166667,99836333,120701
570166633,99836417,120799
570166617,99836467,120900
570166583,99836533,121001
570166533,99836600,121101
570166500,99836700,121199
570166483,99836783,121299
570166450,99836867,121406
570166433,99836933,121501
570166400,99837000,121601
570166383,99837033,121699
570166367,99837083,121799
570166350,99837117,121899
570166333,99837150,121999
570166350,99837167,122099
570166350,99837233,122199
570166350,99837217,122299
570166333,99837250,122406
570166300,99837283,122499
570166283,99837317,122599
570166267,99837350,122699
570166250,99837400,122798
570166217,99837450,122901
570166183,99837500,123000
570166133,99837617,123102
570166117,99837650,123201
570166067,99837717,123300
570166017,99837783,123401
570165983,99837833,123501
570165950,99837883,123599
570165933,99837917,123700
570165900,99837950,123800
570165867,99837983,123901
570165850,99838017,123999
570165817,99838017,124100
570165817,99838017,124200
570165817,99838017,124299
570165817,99838017,124402
570165783,99837900,124501
570165767,99837883,124601
570165750,99837867,124699
570165750,99837833,124800
570165750,99837783,124901
570165767,99837733,125000
570165767,99837683,125101
570165750,99837650,125202
570165750,99837617,125302
570165733,99837600,125403
570165733,99837567,125501
570165717,99837550,125593
570165700,99837533,125698
570165700,99837500,125800
570165700,99837450,125899
570165717,99837400,125998
570165717,99837350,126102
570165733,99837317,126201
570165733,99837283,126298
570165717,99837283,126405
570165700,99837283,126501
570165700,99837267,126601
570165683,99837250,126698
570165683,99837233,126799
570165683,99837217,126899
570165667,99837217,127001
570165667,99837200,127100
570165650,99837200,127202
570165650,99837183,127300
570165650,99837167,127402
570165650,99837150,127501
570165650,99837117,127601
570165650,99837100,127700
570165650,99837067,127800
570165650,99837050,127901
570165650,99837017,128001
570165667,99836983,128100
570165667,99836967,128201
570165667,99836950,128301
570165667,99836933,128402
570165667,99836917,128502
570165667,99836900,128599
570165650,99836883,128701
570165667,99836867,128802
570165667,99836833,128900
570165683,99836800,129000
570165683,99836767,129101
570165700,99836717,129201
570165717,99836683,129300
570165733,99836650,129401
570165750,99836600,129501
570165733,99836583,129601
570165717,99836650,129701
570165717,99836633,129802
570165700,99836700,129900
570165700,99836667,130000
570165667,99836750,130102
570165650,99836800,130200
570165667,99836767,130300
570165667,99836750,130404
570165683,99836717,130501
570165683,99836700,130600
570165683,99836683,130698
570165683,99836667,130800
570165683,99836650,130901
570165700,99836633,131001
570165700,99836600,131100
570165717,99836583,131200
570165700,99836617,131298
570165700,99836667,131401
570165667,99836733,131502
570165667,99836717,131599
570165633,99836800,131698
570165633,99836800,131799
570165650,99836767,131899
570165600,99836917,132000
570165617,99836900,132099
570165617,99836867,132199
570165617,99836850,132301
570165617,99836817,132401
570165617,99836800,132499
570165617,99836783,132599
570165617,99836767,132698
570165617,99836750,132798
570165617,99836733,132900
570165600,99836817,132999
